Y,Y_real,Y_probability
1,1,0.9570248
1,1,0.99830204
1,1,0.9953059
0,1,0.88301
0,1,0.88301
1,1,0.9783699
0,1,0.44571388
1,1,0.9808178
1,1,0.9804665
1,1,0.9783815
0,1,0.6330404
0,1,0.8539114
0,1,0.36515832
0,1,0.4824222
0,1,0.7802611
0,1,0.55157363
0,1,0.45012724
1,1,0.95418906
0,1,0.42914534
1,1,0.99999523
1,1,0.99999183
1,1,0.99999416
1,1,0.9999948
0,1,0.5021767
0,1,0.42969003
0,1,0.3955465
1,1,0.95564765
1,1,0.9700547
1,1,0.9758057
1,1,0.95791197
0,1,0.86923575
0,1,0.6763595
0,1,0.36626676
0,1,0.7112341
0,1,0.48017037
0,1,0.4752133
0,1,0.63035667
0,1,0.46532977
0,1,0.46689147
0,1,0.90053666
0,1,0.9286701
0,1,0.46167699
0,1,0.46242237
0,1,0.4625822
0,1,0.46250626
0,1,0.50357854
0,1,0.48508665
0,1,0.46377662
0,1,0.4807012
1,1,0.994725
1,1,0.994725
1,1,0.994431
1,1,0.99417895
1,1,0.9925789
0,1,0.707942
0,1,0.90694606
0,1,0.5077779
1,1,0.9916745
1,1,0.98852754
0,1,0.8436855
0,1,0.47649962
0,1,0.6931438
0,1,0.5127981
0,1,0.47159225
1,1,0.9915323
0,1,0.41624635
0,1,0.41608062
0,1,0.41643134
0,1,0.6798271
1,1,0.9685482
0,1,0.6603817
0,1,0.6349849
0,1,0.732403
0,1,0.7104464
0,1,0.6929356
0,1,0.6944422
0,1,0.59421307
0,1,0.6839078
0,1,0.6714341
0,1,0.67690045
0,1,0.67180324
0,1,0.6721269
1,1,0.97329384
0,1,0.8878727
0,1,0.88527244
0,1,0.4998185
0,1,0.62576765
0,1,0.7209277
0,1,0.7204956
0,1,0.5332396
0,1,0.49870852
1,1,0.99750817
0,1,0.3895041
0,1,0.72073454
1,1,0.98416495
1,1,0.99997014
0,1,0.6219657
1,1,0.9999322
1,1,0.9999959
0,1,0.519438
0,1,0.4711375
0,1,0.51349205
1,1,0.99999106
1,1,0.99999505
1,1,0.9999967
1,1,0.999975
1,1,0.9999973
1,1,0.9999954
1,1,0.999987
1,1,0.9991437
0,1,0.772231
0,1,0.7620181
1,1,0.99969435
0,1,0.3693903
1,1,0.9957955
1,1,0.9974503
0,1,0.6884326
0,1,0.6387454
0,1,0.66191435
0,1,0.6996811
0,1,0.7127751
0,1,0.66705906
0,1,0.9204563
1,1,0.9998914
0,1,0.90684474
1,1,0.9897482
1,1,0.98599577
1,1,0.985044
1,1,0.99130595
0,1,0.52384365
0,1,0.9302848
0,1,0.9064092
0,1,0.9165343
0,1,0.47011128
0,1,0.8853932
1,1,0.9527529
0,1,0.947941
0,1,0.94358045
0,1,0.62554985
0,1,0.67000884
0,1,0.5632217
0,1,0.70656127
0,1,0.59417087
0,1,0.61681473
0,1,0.5935005
0,1,0.5853335
0,1,0.5873903
0,1,0.59860116
1,1,0.9990852
1,1,0.99876624
0,1,0.9260487
0,1,0.71244574
0,1,0.61892956
0,1,0.35928234
0,1,0.5093078
0,1,0.37200192
0,1,0.40409344
0,1,0.52182317
0,1,0.43468255
0,1,0.37843797
0,1,0.3939051
0,1,0.40452287
0,1,0.4873997
0,1,0.5500574
0,1,0.34239054
0,1,0.3435655
0,1,0.36404908
0,1,0.36467293
0,1,0.3993897
0,1,0.50010407
0,1,0.58742917
1,1,0.9617749
0,1,0.89987916
1,1,0.97703385
0,1,0.7382116
0,1,0.6181068
0,1,0.6181068
0,1,0.6181068
0,1,0.7045975
1,1,0.95664203
0,1,0.7551217
0,1,0.87815124
0,1,0.9255529
0,1,0.41882378
0,1,0.5970974
0,1,0.69038093
0,1,0.73410183
0,1,0.4215571
0,1,0.7013511
0,1,0.46667624
0,1,0.471103
0,1,0.46643123
0,1,0.4963308
0,1,0.47502768
0,1,0.4701528
0,1,0.4708046
0,1,0.47088194
0,1,0.4734389
0,1,0.4710198
0,1,0.47783712
0,1,0.4745928
0,1,0.91027695
0,1,0.39391696
0,1,0.39453995
0,1,0.39141986
0,1,0.3825541
0,1,0.4181429
0,1,0.41005433
0,1,0.46089274
0,1,0.41430134
0,1,0.68496305
0,1,0.58606046
0,1,0.42155138
0,1,0.58009285
1,1,0.98725873
0,1,0.6399824
1,1,0.9747923
0,1,0.94964445
0,1,0.9082374
1,1,0.99991614
0,1,0.6169601
1,1,0.99587953
1,1,0.9999298
1,1,0.99991167
0,1,0.84376466
0,1,0.85040075
0,1,0.5861831
1,1,0.99988145
0,1,0.70560414
0,1,0.7666703
0,1,0.68065155
0,1,0.71036696
0,1,0.61700577
1,1,0.99943995
0,1,0.48596242
0,1,0.65492046
0,1,0.3809505
0,1,0.9291899
0,1,0.5026625
0,1,0.44949338
0,1,0.41546854
0,1,0.33827773
1,1,0.9898608
1,1,0.97460157
0,1,0.8057755
1,1,0.9837851
1,1,0.9858731
0,1,0.86639035
0,1,0.9214806
0,1,0.9428615
0,1,0.94833374
0,1,0.94979835
0,1,0.90052897
0,1,0.8144294
0,1,0.746761
1,1,0.9694388
0,1,0.5777623
0,1,0.8115722
0,1,0.43411556
0,1,0.40943438
0,1,0.4712678
0,1,0.4811174
0,1,0.6863865
0,1,0.9370814
0,1,0.9295599
0,1,0.8631448
0,1,0.8488689
0,1,0.8264712
0,1,0.8175347
0,1,0.8175347
0,1,0.79595596
0,1,0.92248094
1,1,0.9950752
1,1,0.98911446
0,1,0.9461253
1,1,0.9697589
1,1,0.96360385
1,1,0.97687495
1,1,0.97682637
0,1,0.9480009
0,1,0.94604784
0,1,0.69898725
0,1,0.8531394
0,1,0.7722488
1,1,0.950586
0,1,0.83865374
0,1,0.941996
0,1,0.56692195
0,1,0.56228256
0,1,0.43898335
0,1,0.39130276
0,1,0.3860608
0,1,0.39695233
0,1,0.4839579
0,1,0.4857208
0,1,0.49230856
0,1,0.74330664
0,1,0.5500808
0,1,0.56834346
0,1,0.6605269
0,1,0.45511165
0,1,0.44898584
0,1,0.47562972
1,1,0.99999535
0,1,0.41135183
0,1,0.4517493
0,1,0.51820165
0,1,0.520096
0,1,0.58569413
0,1,0.5263832
0,1,0.8480028
1,1,0.96547246
0,1,0.93164474
0,1,0.93164474
1,1,0.97563297
0,1,0.6245712
0,1,0.42037457
0,1,0.38320935
0,1,0.3831199
0,1,0.37529796
0,1,0.3362211
0,1,0.3370974
0,1,0.35587355
0,1,0.3707774
0,1,0.3718305
0,1,0.3718305
1,1,0.98944855
1,1,0.9886098
0,1,0.6292646
0,1,0.63112235
0,1,0.6383327
0,1,0.6431596
0,1,0.65936524
0,1,0.46619147
0,1,0.3743933
0,1,0.46663618
0,1,0.51631236
0,1,0.522088
0,1,0.4813444
0,1,0.4571303
0,1,0.48228967
0,1,0.6439758
0,1,0.71783155
0,1,0.46262956
0,1,0.8469988
0,1,0.8916453
1,1,0.99950325
1,1,0.99893636
1,1,0.9973261
1,1,0.997429
1,1,0.9979909
0,1,0.37084866
0,1,0.36937812
0,1,0.36930692
0,1,0.7610365
0,1,0.58207345
0,1,0.81684357
0,1,0.3966066
1,1,0.9986135
0,1,0.73840874
0,1,0.7434729
0,1,0.5328286
0,1,0.61352223
1,1,0.9911807
0,1,0.62980753
1,1,0.980092
1,1,0.984823
1,1,0.98234046
1,1,0.9877588
0,1,0.63732195
0,1,0.67209166
0,1,0.5500893
0,1,0.73721296
0,1,0.62376964
0,1,0.59244764
1,1,0.97198814
0,1,0.943488
1,1,0.95453954
1,1,0.976541
0,1,0.63495386
0,1,0.6216268
0,1,0.6784072
0,1,0.676104
0,1,0.64142144
0,1,0.6238706
0,1,0.71916795
0,1,0.7180112
0,1,0.6951913
0,1,0.5787658
0,1,0.64937294
0,1,0.73812115
0,1,0.6778056
0,1,0.15698418
0,1,0.71268886
0,1,0.7057475
0,1,0.8651255
0,1,0.86438876
0,1,0.93025
1,1,0.9757506
1,1,0.98075265
0,1,0.86472815
0,1,0.45032635
1,1,0.99734783
1,1,0.98920363
0,1,0.42009035
0,1,0.43283308
0,1,0.41794193
1,1,0.99703515
0,1,0.42730486
0,1,0.43134713
1,1,0.997697
0,1,0.81586736
0,1,0.5086473
0,1,0.53259027
0,1,0.7485013
0,1,0.51038176
0,1,0.5090489
0,1,0.55972403
0,1,0.52571994
1,1,0.99106616
1,1,0.9580317
0,1,0.32808208
0,1,0.32957006
0,1,0.44793174
0,1,0.52947575
0,1,0.39944592
0,1,0.407081
0,1,0.7104462
0,1,0.5950728
0,1,0.684605
1,1,0.9943964
1,1,0.98974115
1,1,0.99934816
0,1,0.9185584
0,1,0.92496866
0,1,0.6881006
1,1,0.9780024
1,1,0.99949765
1,1,0.9996152
0,1,0.65359175
1,1,0.9991998
0,1,0.6480548
1,1,0.9696756
1,1,0.9994295
0,1,0.6519807
1,1,0.9998447
1,1,0.9942267
1,1,0.9974655
