Y,Y_real,Y_probability
1,1,0.97650486
1,1,0.9988641
1,1,0.99895823
0,1,0.62007076
0,1,0.62007076
0,1,0.73610914
0,1,0.39834228
0,1,0.7713343
0,1,0.75939286
0,1,0.7471283
0,1,0.6671986
0,1,0.9099979
0,1,0.5658915
0,1,0.48167458
0,1,0.9475851
0,1,0.72356004
0,1,0.6014975
0,1,0.85278875
0,1,0.37666166
1,1,0.99890494
1,1,0.9989724
1,1,0.9992402
1,1,0.999187
0,1,0.72976977
0,1,0.5275827
0,1,0.26055175
0,1,0.9266549
0,1,0.94483924
1,1,0.9507283
0,1,0.9471539
0,1,0.88271165
1,1,0.9504853
0,1,0.8900011
0,1,0.665104
0,1,0.5943832
0,1,0.5986949
0,1,0.56647164
0,1,0.48600334
0,1,0.51061654
0,1,0.59868383
0,1,0.8235223
0,1,0.4959608
0,1,0.496159
0,1,0.49624527
0,1,0.49414816
0,1,0.6043739
0,1,0.60839754
0,1,0.61898637
0,1,0.69383955
0,1,0.6394582
0,1,0.6394582
0,1,0.59425193
0,1,0.59138423
0,1,0.52733725
0,1,0.4469567
0,1,0.67963606
0,1,0.48381516
1,1,0.9615354
0,1,0.62377495
0,1,0.6678002
0,1,0.54496956
0,1,0.6406355
0,1,0.55119663
0,1,0.4499288
0,1,0.8301854
0,1,0.46178898
0,1,0.46279356
0,1,0.46702623
0,1,0.64829034
0,1,0.7314041
0,1,0.66427785
0,1,0.7221088
0,1,0.69999707
0,1,0.6738912
0,1,0.66065073
0,1,0.641864
0,1,0.5309972
0,1,0.5584649
0,1,0.6987416
0,1,0.78935367
0,1,0.8061133
0,1,0.810575
0,1,0.4291374
0,1,0.94139093
0,1,0.94871324
0,1,0.38485128
0,1,0.5525256
0,1,0.72310215
0,1,0.71335226
0,1,0.55933267
0,1,0.48110446
1,1,0.988144
0,1,0.40221712
0,1,0.74766845
0,1,0.8167836
0,1,0.5794322
1,1,0.99655163
1,1,0.9948313
1,1,0.98634183
0,1,0.53828174
0,1,0.41641313
0,1,0.7035375
1,1,0.9747464
1,1,0.9788195
1,1,0.99428713
1,1,0.993846
1,1,0.98606086
1,1,0.99504066
1,1,0.9814001
1,1,0.98229223
1,1,0.9676263
1,1,0.9697091
1,1,0.99698627
0,1,0.42300165
0,1,0.7529133
0,1,0.765301
0,1,0.56422526
0,1,0.5348528
0,1,0.5568495
0,1,0.5717089
0,1,0.5712122
0,1,0.5858175
0,1,0.51417536
1,1,0.9942013
0,1,0.7066755
0,1,0.91668046
0,1,0.88666666
0,1,0.8815882
0,1,0.9166241
0,1,0.6622774
0,1,0.6433169
0,1,0.6529151
0,1,0.6424451
0,1,0.53436774
0,1,0.8919335
0,1,0.8996952
0,1,0.92660004
0,1,0.8381777
0,1,0.50457364
0,1,0.73386335
0,1,0.4758195
0,1,0.72117835
0,1,0.7843952
0,1,0.7765614
0,1,0.71997225
0,1,0.62261647
0,1,0.7211931
0,1,0.7793989
1,1,0.995746
1,1,0.9970683
0,1,0.87841165
0,1,0.9325393
0,1,0.64860755
0,1,0.2837562
0,1,0.5714728
0,1,0.3794348
0,1,0.5853058
0,1,0.62761
0,1,0.618181
0,1,0.40703458
0,1,0.4310114
0,1,0.43633172
0,1,0.4446783
0,1,0.5386592
0,1,0.4193825
0,1,0.41528514
0,1,0.40758213
0,1,0.40866473
0,1,0.42834812
0,1,0.5234544
0,1,0.48970452
0,1,0.55924886
0,1,0.8949793
0,1,0.8185242
0,1,0.6428236
0,1,0.48018768
0,1,0.48018768
0,1,0.48018768
0,1,0.63073254
0,1,0.6041815
0,1,0.5520468
0,1,0.6384779
0,1,0.6401088
0,1,0.44353303
0,1,0.62850386
0,1,0.44929883
0,1,0.34041363
0,1,0.46101505
0,1,0.7380449
0,1,0.4382891
0,1,0.49809024
0,1,0.42249206
0,1,0.54104596
0,1,0.526989
0,1,0.4656457
0,1,0.5066179
0,1,0.47796696
0,1,0.51631594
0,1,0.50118756
0,1,0.52311504
0,1,0.52050805
0,1,0.9169683
0,1,0.59841335
0,1,0.34832814
0,1,0.5382275
0,1,0.3175735
0,1,0.4232689
0,1,0.3939248
0,1,0.4313132
0,1,0.41325706
0,1,0.5169484
0,1,0.49400508
0,1,0.5299131
0,1,0.65127605
0,1,0.7303814
0,1,0.3483567
0,1,0.9194149
1,1,0.9602427
1,1,0.9695915
1,1,0.9982556
0,1,0.6448458
1,1,0.97716004
1,1,0.99544686
1,1,0.99813926
0,1,0.76758087
0,1,0.6717735
0,1,0.6431084
1,1,0.99155456
1,1,0.9591773
0,1,0.7886338
0,1,0.6557355
0,1,0.9418825
0,1,0.83234215
1,1,0.9868592
0,1,0.52416366
0,1,0.74657243
0,1,0.42814276
0,1,0.7730321
0,1,0.6950302
0,1,0.68079954
0,1,0.6689733
0,1,0.34998348
1,1,0.9809203
1,1,0.9833616
0,1,0.8931983
1,1,0.98688936
1,1,0.9871106
0,1,0.9486755
0,1,0.75011736
0,1,0.7213347
0,1,0.7208298
0,1,0.71653146
0,1,0.88820976
0,1,0.6993267
0,1,0.48949948
1,1,0.9923732
0,1,0.91959596
0,1,0.7664619
0,1,0.4016824
0,1,0.5016853
0,1,0.38695812
0,1,0.70849836
0,1,0.6610229
0,1,0.69791555
0,1,0.771101
0,1,0.803739
0,1,0.7944089
0,1,0.7843409
0,1,0.6701237
0,1,0.6701237
0,1,0.6631163
0,1,0.73830694
0,1,0.8141218
0,1,0.9424965
0,1,0.8399334
0,1,0.7808075
0,1,0.6426376
0,1,0.6804245
0,1,0.680301
0,1,0.83281076
0,1,0.90974146
0,1,0.9094005
0,1,0.60400856
0,1,0.6125009
0,1,0.8586931
0,1,0.8523828
0,1,0.86148256
0,1,0.7710012
0,1,0.7707981
0,1,0.50282377
0,1,0.42024025
0,1,0.4142371
0,1,0.40851685
0,1,0.58795893
0,1,0.7065162
0,1,0.651407
0,1,0.87011313
0,1,0.5807609
0,1,0.6841197
0,1,0.7603415
0,1,0.41467634
0,1,0.43019542
0,1,0.37272245
1,1,0.999507
0,1,0.5957664
0,1,0.57495683
0,1,0.520333
0,1,0.5640478
0,1,0.5645863
0,1,0.55576164
0,1,0.5847594
0,1,0.5868421
0,1,0.587492
0,1,0.587492
0,1,0.58477557
0,1,0.56158996
0,1,0.39022842
0,1,0.37736654
0,1,0.37763122
0,1,0.38396105
0,1,0.5737388
0,1,0.5668785
0,1,0.46276063
0,1,0.4187126
0,1,0.4195848
0,1,0.4195848
0,1,0.84944695
0,1,0.8453827
0,1,0.50340927
0,1,0.5042004
0,1,0.50677854
0,1,0.5083324
0,1,0.5135796
0,1,0.4314434
0,1,0.4278057
0,1,0.47528514
0,1,0.51016355
0,1,0.53255785
0,1,0.46810257
0,1,0.4794854
0,1,0.500342
0,1,0.47872087
0,1,0.7645077
0,1,0.49366805
0,1,0.5721802
0,1,0.6456966
0,1,0.9291639
0,1,0.74119055
0,1,0.702207
0,1,0.70396537
1,1,0.99185944
0,1,0.8001015
0,1,0.7668068
0,1,0.7654849
0,1,0.91003525
0,1,0.77646554
0,1,0.5557202
0,1,0.3537302
0,1,0.5654075
0,1,0.5609179
0,1,0.66457164
0,1,0.6769956
0,1,0.7576534
0,1,0.92219573
0,1,0.71454823
0,1,0.9099283
0,1,0.91657716
0,1,0.9282404
0,1,0.9270021
0,1,0.52616155
0,1,0.52615213
0,1,0.70865446
0,1,0.48215234
0,1,0.63162225
0,1,0.6033706
0,1,0.9035681
0,1,0.832737
0,1,0.86325
0,1,0.9099753
0,1,0.5070269
0,1,0.68869066
0,1,0.69897634
0,1,0.67978543
