Y,Y_real,Y_probability
0,0,0.4060284
1,1,0.6769779
1,0,0.6595432
1,1,0.99742126
0,1,0.3854589
1,1,0.88627076
1,0,0.6164912
0,0,0.4052912
1,1,0.65137166
1,1,0.656709
0,0,0.43586066
1,0,0.6062274
0,0,0.48385262
1,1,0.6341311
1,1,0.96920884
0,0,0.38630456
1,1,0.73490196
1,1,0.99989754
1,1,0.9414171
0,0,0.35051855
1,0,0.68090093
1,1,0.9753475
0,0,0.44275537
0,1,0.41265392
0,1,0.49246377
1,1,0.69679016
0,0,0.42607278
1,1,0.87530655
0,0,0.3968973
1,1,0.74101603
0,1,0.42778036
0,1,0.41896638
1,1,0.6242862
0,1,0.36682266
1,0,0.6077488
0,1,0.4002681
0,0,0.35216972
1,1,0.955523
1,1,0.75939244
1,1,0.778817
0,0,0.3477448
1,1,0.60558146
1,0,0.6072036
0,0,0.37273458
0,1,0.49028808
0,1,0.4345219
1,1,0.73885876
0,1,0.4413444
0,1,0.4239024
0,0,0.3652273
0,0,0.42461598
0,1,0.46391115
0,0,0.47298414
1,1,0.9346306
0,0,0.50169647
0,0,0.38790953
1,1,0.6426987
0,1,0.33427048
0,1,0.51066124
0,1,0.47553238
0,1,0.53924096
0,0,0.35051855
0,1,0.37028816
1,0,0.7794557
1,1,0.6882696
0,1,0.5451931
0,0,0.43155172
0,1,0.3526705
1,0,0.75666994
1,1,0.6744001
1,1,0.6259801
0,0,0.50729096
1,0,0.83343935
1,1,0.7349212
0,1,0.3897824
0,1,0.47748238
0,1,0.41549736
0,0,0.42680568
1,1,0.6782776
1,0,0.65803397
0,0,0.41934326
0,1,0.45849293
0,0,0.45742172
0,0,0.5396431
1,1,0.99643874
0,0,0.4862713
0,0,0.5082836
0,0,0.34829974
0,1,0.42817488
1,1,0.9951298
0,0,0.4724864
0,0,0.45590732
1,1,0.6134619
0,0,0.36212802
1,1,0.97233164
0,1,0.3107862
1,1,0.6030342
1,1,0.64840287
1,0,0.66884965
1,0,0.74309945
0,0,0.430577
1,1,0.75113964
0,1,0.5394155
0,0,0.37821844
0,0,0.418499
0,0,0.43784502
1,0,0.9158585
1,0,0.6152992
0,0,0.4710386
0,1,0.3477448
0,0,0.38935545
0,0,0.3141784
0,1,0.4096003
1,1,0.8872754
1,1,0.6301132
0,0,0.34342253
1,0,0.6673188
0,1,0.44988254
0,1,0.52816534
1,0,0.7207783
1,1,0.6766261
0,1,0.42377016
1,1,0.61994755
0,1,0.3477448
0,0,0.39835647
1,1,0.851385
0,0,0.32183063
0,1,0.41623583
1,1,0.9680368
1,1,0.7620132
0,0,0.38020208
0,0,0.35428357
0,1,0.39610356
0,0,0.35188058
1,1,0.9793786
0,1,0.49723297
1,1,0.5631947
0,0,0.4704197
0,0,0.35360172
0,0,0.38282874
0,0,0.52308506
0,1,0.46918783
1,0,0.6378765
0,0,0.50732195
0,0,0.30859715
0,1,0.4317344
0,1,0.4437419
0,1,0.36694142
0,0,0.47870952
0,1,0.5253364
0,1,0.39559403
0,1,0.32563475
1,1,0.96112555
1,1,0.99864405
1,1,0.5781432
0,0,0.4516906
1,1,0.8429991
0,0,0.44699946
0,1,0.3141784
0,1,0.3583037
1,0,0.64487284
1,0,0.65803397
0,0,0.3477448
0,0,0.39302108
1,0,0.63563037
0,1,0.3968973
1,1,0.56552935
0,0,0.47750923
1,1,0.98676443
0,0,0.39855832
0,0,0.40943426
0,0,0.38864866
0,0,0.49002084
0,1,0.38884795
0,1,0.3791481
0,0,0.45991397
0,1,0.5085374
0,1,0.3477448
0,1,0.41797763
1,0,0.68872136
0,1,0.32823992
1,1,0.6934191
0,1,0.4813617
0,1,0.54366726
1,1,0.7327763
0,0,0.37976113
1,1,0.8750418
0,0,0.36094725
0,0,0.47501272
1,1,0.86097383
0,0,0.47352558
0,0,0.4704197
0,1,0.51446587
0,1,0.34531972
0,0,0.40548226
0,1,0.4463754
0,0,0.38696945
0,1,0.3583037
0,1,0.440837
0,0,0.4780613
0,0,0.3755264
1,1,0.9964284
1,1,0.7005987
0,1,0.5389709
0,1,0.47320905
0,1,0.4958108
0,0,0.40648672
0,0,0.5436669
0,1,0.53881437
0,0,0.3505076
0,0,0.4519747
0,0,0.49530113
0,0,0.4770903
0,1,0.40882567
0,1,0.38085023
0,1,0.42128992
0,1,0.46852383
1,0,0.63011265
0,0,0.34831554
0,0,0.3536291
1,0,0.5678123
1,0,0.61005616
0,1,0.4196086
1,1,0.7138382
1,1,0.62525725
0,1,0.42574576
1,0,0.64107877
1,0,0.592136
1,1,0.99913496
0,1,0.34758046
1,1,0.81969607
1,1,0.8194409
0,0,0.36402488
1,1,0.7440276
0,0,0.42985484
0,0,0.4736362
1,1,0.55135775
1,0,0.6485306
0,0,0.5424377
0,0,0.3477448
1,0,0.5905386
0,0,0.43353766
1,1,0.83875376
1,1,0.8183674
0,0,0.37901443
0,1,0.37953833
0,0,0.37018982
0,1,0.5285454
0,1,0.38855845
0,1,0.54516655
0,1,0.48001835
0,1,0.37229827
0,0,0.40718815
0,0,0.3477448
1,1,0.90748066
0,0,0.3748648
0,0,0.430577
0,0,0.38048145
1,0,0.6030342
1,1,0.9721542
0,0,0.45059872
0,1,0.3571213
0,1,0.40844226
0,0,0.43767378
1,1,0.91233534
1,0,0.6500631
1,0,0.5580114
1,0,0.72500104
1,1,0.6980244
0,0,0.5158094
0,1,0.32048482
0,1,0.33645704
0,0,0.5221833
1,1,0.5779088
1,1,0.9999001
0,1,0.44509354
0,1,0.52669513
0,1,0.5326972
0,0,0.43486047
0,1,0.375085
0,1,0.42730638
0,1,0.3494541
0,1,0.5181433
0,0,0.35428357
0,0,0.45729488
1,1,0.9548525
1,1,0.6030342
0,1,0.51334494
1,1,0.99742126
0,0,0.5456962
1,1,0.7920122
1,1,0.78171754
0,1,0.49340534
1,1,0.810643
0,0,0.3477448
0,1,0.34803998
1,1,0.891066
0,1,0.52357656
0,1,0.45412165
0,0,0.43965027
0,0,0.37839082
0,0,0.35051855
0,0,0.3927288
1,1,0.9968639
0,0,0.47716662
0,0,0.4103563
0,0,0.4854059
1,1,0.99990195
0,1,0.34435958
0,1,0.549704
0,1,0.34886846
0,0,0.46177724
1,1,0.704445
0,0,0.3682312
0,1,0.48450983
0,0,0.34667084
0,0,0.37055
0,1,0.38457236
0,0,0.35530385
0,0,0.36189786
0,0,0.45808953
1,1,0.628312
0,1,0.5219824
1,1,0.9849105
1,1,0.99699616
0,1,0.4164153
0,0,0.42934257
0,0,0.34830126
0,1,0.46539393
0,1,0.41295704
0,0,0.4103563
0,1,0.53428596
0,1,0.3477448
0,0,0.4977706
0,0,0.38691297
1,1,0.963185
0,0,0.39835647
1,1,0.98135096
1,1,0.7134425
0,1,0.31446666
0,1,0.49674904
1,1,0.6079438
1,0,0.6030342
1,1,0.57167375
0,0,0.48196542
0,0,0.34682932
1,1,0.5801671
1,0,0.68912846
0,0,0.40155753
0,1,0.39319125
0,0,0.3939153
1,1,0.98494524
0,1,0.3887628
1,1,0.68128175
1,1,0.97501993
1,1,0.5505539
0,0,0.34690458
0,1,0.39345315
1,1,0.93667763
0,0,0.3530345
1,1,0.7775161
0,0,0.4455657
1,0,0.6376591
1,1,0.7561061
0,0,0.37606326
0,0,0.49865222
0,0,0.4624746
0,1,0.48754194
1,1,0.8949187
0,1,0.411259
0,0,0.47430158
0,0,0.43749723
1,1,0.6062494
0,1,0.3933304
1,1,0.6666971
0,1,0.3071828
0,0,0.45591494
0,0,0.45827392
1,0,0.6971414
0,0,0.41180778
1,1,0.6030342
0,1,0.47854567
0,0,0.36857846
1,1,0.9337527
1,1,0.67706674
0,1,0.3498264
0,0,0.46762386
0,0,0.3001035
0,1,0.4335839
0,0,0.3642276
0,0,0.36788353
0,0,0.37193382
1,0,0.6964732
0,1,0.46909043
0,1,0.48970586
0,0,0.46706784
0,0,0.38935545
1,1,0.56953496
0,0,0.41295704
0,1,0.4307154
0,1,0.32699484
0,1,0.40030083
1,1,0.6030342
1,1,0.99335635
1,1,0.6139775
0,1,0.44047958
0,0,0.3141784
0,1,0.39439827
0,0,0.35238415
0,1,0.45320898
0,0,0.5221833
0,1,0.45863566
0,0,0.49028808
0,0,0.54366726
0,1,0.49844417
1,1,0.55638784
0,0,0.4998473
0,1,0.3998467
0,1,0.37848663
0,1,0.5379661
0,0,0.39920014
0,0,0.33645704
1,1,0.716743
1,0,0.55171543
1,1,0.79734474
1,1,0.74623764
0,1,0.49042872
0,0,0.4150289
0,1,0.3477448
0,0,0.39053142
1,1,0.6484306
1,1,0.61148536
1,1,0.95998263
0,1,0.5209539
1,1,0.996796
0,1,0.46848586
1,1,0.63014257
0,0,0.32333836
0,0,0.38383812
0,0,0.37839082
1,1,0.9997662
0,0,0.39920014
0,0,0.48859295
0,1,0.48916405
0,0,0.3983197
0,0,0.47123381
0,0,0.5075555
0,1,0.39228377
0,1,0.38650537
0,1,0.4718867
0,1,0.31141272
1,0,0.7250741
0,0,0.35824573
0,0,0.51528853
0,0,0.40250498
1,1,0.94586045
1,1,0.7088872
0,0,0.36766073
1,1,0.6030342
1,0,0.5791554
0,1,0.4218934
1,0,0.5958311
0,0,0.44988856
0,0,0.44275537
1,0,0.55792266
0,0,0.37028816
0,0,0.42960683
0,0,0.51033115
0,0,0.4395384
0,1,0.3445177
0,1,0.3366368
0,1,0.34489727
1,1,0.96897465
0,0,0.30977875
0,1,0.46117333
0,0,0.35238415
1,1,0.7121042
0,0,0.44402802
1,0,0.70538783
0,1,0.29915854
1,1,0.67463005
1,1,0.7020144
1,0,0.63895166
1,1,0.95231223
1,0,0.6694774
0,1,0.3784569
1,1,0.97106355
0,0,0.4512801
1,1,0.6282582
0,0,0.37014282
1,1,0.9941601
0,0,0.35360172
0,1,0.38177207
1,1,0.918935
0,1,0.33645704
0,0,0.4608407
1,1,0.74101603
1,1,0.5908833
0,0,0.51065665
0,0,0.38457236
1,0,0.6124373
1,1,0.99653447
0,0,0.35328683
0,0,0.43428463
0,0,0.31670544
0,1,0.48494416
0,0,0.39264998
0,0,0.3477448
0,0,0.5389709
0,0,0.4998703
0,0,0.5100068
0,0,0.45940802
0,1,0.3918112
0,1,0.431317
0,1,0.45832908
1,1,0.91171014
0,0,0.4710386
0,0,0.36063597
1,0,0.73031884
1,1,0.9898129
0,0,0.33913702
1,1,0.66279346
0,1,0.36966398
0,1,0.3205287
0,0,0.42461598
1,1,0.8164928
0,1,0.5495938
0,1,0.39299795
0,1,0.4814208
0,1,0.44699946
0,0,0.4156239
1,1,0.61998945
1,1,0.7697155
1,1,0.6039072
1,0,0.87678754
1,0,0.70812285
1,1,0.6320028
1,1,0.74895215
0,1,0.4884243
1,1,0.6815956
1,1,0.95163584
1,1,0.9242033
1,1,0.79309344
0,0,0.11544304
0,0,0.49674904
0,0,0.43895534
1,1,0.7179036
0,0,0.4455657
1,0,0.6046076
0,1,0.40752614
1,1,0.6936361
0,0,0.3951609
0,1,0.44517776
0,1,0.4782458
0,0,0.37285748
0,1,0.5081174
1,1,0.6689727
0,0,0.42730638
1,1,0.98842925
0,0,0.45683083
1,1,0.6693057
0,0,0.3510947
0,0,0.35136694
0,1,0.5221833
1,1,0.64789015
0,0,0.53073794
0,1,0.3935525
1,0,0.5927484
0,1,0.34435958
0,1,0.46045932
0,1,0.5232718
0,1,0.48739332
0,0,0.3114225
0,0,0.41797763
0,0,0.42256594
0,1,0.50577986
0,1,0.4991069
1,1,0.6513061
1,1,0.777091
0,0,0.37851426
1,1,0.9698265
1,1,0.6847608
0,0,0.33663964
0,0,0.39230144
0,1,0.2381428
1,0,0.7482433
1,0,0.644016
1,1,0.87536645
0,1,0.46735874
1,1,0.99904627
0,0,0.35183337
1,1,0.99640834
0,1,0.48970586
0,0,0.36710477
0,0,0.3001035
1,1,0.8335325
0,0,0.4200676
1,1,0.8896832
0,1,0.5205203
1,1,0.9990498
0,1,0.368248
0,0,0.3477448
1,1,0.6030342
1,1,0.7052527
0,0,0.38280895
1,1,0.9224713
1,1,0.8429991
0,0,0.42916733
0,0,0.36059478
1,1,0.8586228
1,1,0.9842388
1,1,0.97742045
0,1,0.4585819
1,0,0.6030342
0,1,0.29048476
0,1,0.54282993
0,1,0.36437607
1,0,0.69122857
0,1,0.4884243
0,0,0.4675828
0,0,0.35585415
1,0,0.6242658
1,1,0.7021716
0,0,0.4463754
0,0,0.4077026
0,0,0.4740744
1,1,0.80363977
0,0,0.35360172
0,1,0.39299795
1,1,0.7421326
0,0,0.41105866
0,1,0.3494541
1,1,0.6030342
1,1,0.82475483
0,1,0.47757667
0,0,0.35027686
1,0,0.6030342
1,1,0.65639734
1,1,0.81126404
1,1,0.91214293
1,1,0.6869038
1,0,0.6921738
0,0,0.5183219
1,1,0.6061623
0,0,0.43358198
1,0,0.55171543
0,1,0.38280895
1,1,0.9849819
1,0,0.62525725
0,1,0.43784502
0,0,0.39530575
0,0,0.33654216
1,1,0.66658664
0,1,0.39998746
1,1,0.8263179
0,0,0.40273333
0,1,0.40575698
1,1,0.73885876
0,0,0.3625874
1,1,0.6801629
0,0,0.36073545
0,1,0.395655
0,1,0.5032018
1,1,0.9224713
1,0,0.7661052
0,1,0.3220422
0,1,0.3341003
0,0,0.48165125
0,0,0.4590163
0,1,0.50582695
0,0,0.36063597
0,0,0.51036674
1,1,0.99589205
0,1,0.44740826
0,0,0.4710386
1,1,0.6030342
1,1,0.99640834
0,0,0.35447997
0,1,0.35328683
0,0,0.40958324
0,0,0.45991397
0,1,0.37139073
0,1,0.46964273
1,1,0.99335635
0,1,0.43155172
1,1,0.73331386
1,0,0.644016
0,1,0.4028403
0,0,0.3540966
0,1,0.34831554
1,0,0.6020007
1,1,0.8269302
0,0,0.37193382
1,0,0.714962
0,0,0.4854059
1,1,0.9971307
1,1,0.6445922
0,1,0.3477448
1,1,0.9246441
0,1,0.48916283
1,1,0.979743
0,0,0.3468866
1,1,0.9860313
0,0,0.35088012
0,0,0.38171506
0,1,0.38818982
1,1,0.6847608
0,1,0.47716662
0,1,0.5062407
1,1,0.6801608
1,0,0.88846177
0,0,0.334401
0,0,0.3269634
0,1,0.3477448
0,0,0.44517776
0,0,0.36966774
1,0,0.7243762
0,0,0.45138773
0,1,0.42916733
0,0,0.5017632
1,1,0.6676072
