Y,Y_real,Y_probability
1,1,0.99238396
1,1,0.99225277
1,1,0.9920458
1,1,0.99185866
1,1,0.99184966
1,1,0.99124336
1,1,0.9902974
1,1,0.9894559
1,1,0.9864613
1,1,0.9866301
1,1,0.9894519
1,1,0.9966938
1,1,0.99827784
1,1,0.99807525
1,1,0.99813396
1,1,0.9983621
1,1,0.9982116
1,1,0.99820733
1,1,0.99832463
1,1,0.99831825
1,1,0.99827015
1,1,0.99834365
1,1,0.9981916
1,1,0.9981937
1,1,0.997884
1,1,0.9976358
1,1,0.99754095
1,1,0.99728554
1,1,0.9969864
1,1,0.9967773
1,1,0.99649996
1,1,0.9961774
1,1,0.99649894
1,1,0.99230105
1,1,0.9957905
1,1,0.99521637
1,1,0.9951347
1,1,0.99546856
1,1,0.99544334
1,1,0.99596214
1,1,0.99676144
1,1,0.9974426
1,1,0.9953715
1,1,0.9957845
1,1,0.9975494
1,1,0.9975056
1,1,0.9976135
1,1,0.99779594
1,1,0.99770355
1,1,0.9973799
1,1,0.99823475
1,1,0.9977626
1,1,0.99826974
1,1,0.99822485
1,1,0.9964234
1,1,0.9983165
1,1,0.99422616
1,1,0.994443
1,1,0.997904
1,1,0.9977574
1,1,0.9988857
1,1,0.9988391
1,1,0.9976595
1,1,0.99880403
1,1,0.9935433
1,1,0.9961598
1,1,0.99731183
1,1,0.99569184
1,1,0.99791616
1,1,0.9983234
1,1,0.99827653
1,1,0.9768268
1,1,0.976235
1,1,0.97722423
1,1,0.98419315
1,1,0.9986857
1,1,0.99768263
1,1,0.98900074
1,1,0.98139626
0,1,0.46709695
0,1,0.4582798
0,1,0.46504235
0,1,0.45605442
0,1,0.4560424
0,1,0.45496404
1,1,0.9955334
1,1,0.9951405
1,1,0.9956727
1,1,0.99544895
1,1,0.9981659
1,1,0.9978063
1,1,0.99682593
0,1,0.41803014
0,1,0.49962893
0,1,0.49638063
0,1,0.50817835
1,1,0.9986707
0,1,0.9225721
0,1,0.77172226
0,1,0.77072805
0,1,0.73970115
0,1,0.5113012
0,1,0.5137381
0,1,0.47485468
0,1,0.47112188
0,1,0.52886313
0,1,0.44804737
0,1,0.44737437
0,1,0.4631951
1,1,0.99783856
1,1,0.9984728
1,1,0.9984799
1,1,0.99863595
1,1,0.9978043
1,1,0.9961928
1,1,0.99596834
1,1,0.99598956
1,1,0.99271315
1,1,0.99908334
1,1,0.9991911
1,1,0.9991965
1,1,0.9993466
1,1,0.9848519
1,1,0.99128044
1,1,0.9910549
1,1,0.99075603
1,1,0.99374896
1,1,0.98854345
1,1,0.9990472
0,1,0.9160564
1,1,0.99966717
1,1,0.999321
1,1,0.9990997
1,1,0.999057
1,1,0.9990421
1,1,0.9990609
1,1,0.99862456
1,1,0.9985925
1,1,0.9985179
0,1,0.913242
1,1,0.9980727
1,1,0.9921327
1,1,0.9808826
1,1,0.99805975
1,1,0.98862576
1,1,0.985816
1,1,0.9839908
1,1,0.979786
1,1,0.99832964
0,1,0.6044766
0,1,-0.8767923
0,1,-0.69290686
1,1,0.99526536
0,1,0.51802766
0,1,0.34714344
0,1,0.35231206
0,1,0.5285969
0,1,0.7672934
0,1,0.72052693
1,1,0.99102396
1,1,0.99102616
1,1,0.99095184
1,1,0.98799413
1,1,0.98588943
1,1,0.9847245
1,1,0.98468375
1,1,0.9852706
1,1,0.9863767
1,1,0.9863705
1,1,0.9863326
1,1,0.986356
1,1,0.98676234
1,1,0.98721236
1,1,0.9877839
1,1,0.9877989
1,1,0.9878472
1,1,0.9877472
1,1,0.98768854
1,1,0.98980045
1,1,0.99035144
1,1,0.99035144
1,1,0.99035144
1,1,0.99042195
1,1,0.9909879
1,1,0.9916226
1,1,0.9963517
1,1,0.99822783
1,1,0.99826103
1,1,0.9993022
1,1,0.9985911
1,1,0.9958235
1,1,0.9873659
1,1,0.9675897
1,1,0.9733365
1,1,0.9808718
1,1,0.97973835
1,1,0.957908
1,1,0.957908
1,1,0.9584701
1,1,0.97673726
1,1,0.9738383
1,1,0.9587582
1,1,0.9587582
1,1,0.9585494
1,1,0.95142186
1,1,0.9514278
1,1,0.9578781
1,1,0.9581965
1,1,0.9581965
1,1,0.95842385
1,1,0.96520597
1,1,0.9685469
1,1,0.9906031
1,1,0.9652103
1,1,0.95714515
0,1,0.9272195
0,1,0.9001423
0,1,0.88581073
1,1,0.97109854
1,1,0.97245383
1,1,0.9987861
1,1,0.9991701
0,1,0.84603745
1,1,0.99926174
1,1,0.9986269
1,1,0.99924076
0,1,0.8833305
1,1,0.99797034
1,1,0.9979866
1,1,0.99888515
0,1,0.8206569
0,1,0.9495493
1,1,0.9968513
1,1,0.99773955
1,1,0.9931507
1,1,0.99442506
1,1,0.99380195
1,1,0.9904873
1,1,0.97151005
0,1,0.9165814
0,1,0.8769021
1,1,0.96239966
1,1,0.9842328
0,1,0.6578298
0,1,0.6518601
0,1,0.4726015
0,1,0.49734208
0,1,0.4921512
0,1,0.66296005
0,1,0.5066191
0,1,0.4613615
0,1,0.43843022
0,1,0.41141888
0,1,0.3670837
0,1,0.34675986
0,1,0.34188095
0,1,0.36932445
0,1,0.36613593
0,1,0.35862082
0,1,0.41305456
0,1,0.4057098
0,1,0.40476137
0,1,0.40522248
0,1,0.39799115
0,1,0.40064552
0,1,0.41106704
0,1,0.41073683
0,1,0.3900214
0,1,0.36625737
0,1,0.38050354
0,1,0.39471966
0,1,0.40585604
0,1,0.4901429
0,1,0.65379554
0,1,0.4996208
1,1,0.9939965
1,1,0.98288965
1,1,0.98420244
1,1,0.9961658
1,1,0.9957312
1,1,0.98158747
1,1,0.9815447
1,1,0.9801005
1,1,0.9793652
1,1,0.98268104
1,1,0.9800082
1,1,0.9800082
1,1,0.9865914
1,1,0.99509054
1,1,0.99747425
1,1,0.9963725
1,1,0.99805284
1,1,0.9980897
1,1,0.9979309
1,1,0.99818426
1,1,0.99818426
1,1,0.9982189
1,1,0.99821854
1,1,0.99822867
1,1,0.9983815
1,1,0.9983072
1,1,0.9980833
1,1,0.9981888
1,1,0.99825853
1,1,0.99825853
1,1,0.998247
1,1,0.9983723
1,1,0.9933396
1,1,0.9940565
1,1,0.99817026
1,1,0.99810904
1,1,0.99633855
1,1,0.99330145
1,1,0.99348843
1,1,0.9940044
1,1,0.9924309
1,1,0.9870999
1,1,0.9971406
1,1,0.9981622
1,1,0.9973605
1,1,0.998226
1,1,0.9982794
1,1,0.998214
1,1,0.99821043
1,1,0.9981481
1,1,0.99837404
1,1,0.9936059
1,1,0.9982279
1,1,0.9981257
1,1,0.9983964
1,1,0.99833274
1,1,0.99808824
1,1,0.9983738
1,1,0.9980203
1,1,0.9980372
1,1,0.99806494
1,1,0.9966538
1,1,0.9980014
1,1,0.99825656
0,1,0.4829979
0,1,0.44948122
0,1,0.5555572
0,1,0.46292612
0,1,0.4421425
0,1,0.44601753
0,1,0.5162928
0,1,0.3844387
0,1,0.606185
0,1,0.5725397
1,1,0.98765993
1,1,0.98728734
1,1,0.9661172
1,1,0.96212316
1,1,0.9847348
1,1,0.97886735
0,1,0.4042029
0,1,0.38357055
0,1,0.3752888
0,1,0.41809607
0,1,0.65913045
0,1,0.67069715
0,1,0.7753913
0,1,0.77497584
0,1,0.7745533
0,1,0.7745533
0,1,0.7745533
0,1,0.77106476
0,1,0.7136509
0,1,0.59690535
0,1,0.73087966
0,1,0.623152
0,1,0.46446925
0,1,0.46589664
0,1,0.46809822
0,1,0.46640524
0,1,0.46640524
0,1,0.46640524
0,1,0.46631825
0,1,0.42631897
0,1,0.43045244
0,1,0.45212957
0,1,0.50693274
0,1,0.50800085
0,1,0.40881747
0,1,0.7353701
1,1,0.99761856
1,1,0.9984305
1,1,0.9985986
1,1,0.993199
0,1,0.4473963
1,1,0.9927135
0,1,0.88946813
0,1,0.49060836
0,1,0.3503095
0,1,0.39579138
0,1,0.41321677
0,1,0.41321677
0,1,0.57515436
0,1,0.5278398
0,1,0.4065924
0,1,0.115966335
0,1,0.6869009
0,1,0.60279185
0,1,0.72113675
0,1,0.72113675
0,1,0.72113675
0,1,0.54857093
0,1,0.46497682
0,1,0.45112458
0,1,0.50379246
0,1,0.49773407
0,1,0.4990063
0,1,0.48164797
0,1,0.49540174
0,1,0.36975774
0,1,0.34266713
0,1,0.8190977
0,1,0.8057688
0,1,0.91926235
1,1,0.97176373
1,1,0.9678121
1,1,0.9954007
1,1,0.9956067
0,1,0.7909146
0,1,0.8094138
0,1,0.8297804
0,1,0.8633303
0,1,0.8633303
0,1,0.8553144
0,1,0.6167141
0,1,0.7528277
0,1,0.6687592
0,1,0.6338586
0,1,0.4213812
0,1,0.59074694
0,1,0.8074111
0,1,0.6974027
0,1,0.7125223
1,1,0.9923085
0,1,0.42690596
0,1,0.5176997
0,1,0.480237
0,1,0.40704155
0,1,0.42102373
0,1,0.43313587
0,1,0.45815223
0,1,0.46898857
0,1,0.46530244
0,1,0.45401484
0,1,0.45300382
0,1,0.45305791
0,1,0.45670924
0,1,0.4643554
0,1,0.4661226
0,1,0.4661226
0,1,0.47114146
0,1,0.47439405
0,1,0.48410785
0,1,0.53739643
0,1,0.5534219
0,1,0.47615203
0,1,0.49320352
0,1,0.7944141
1,1,0.99543643
1,1,0.9703566
0,1,0.69667745
0,1,0.6870295
1,1,0.97090304
0,1,0.7139936
0,1,0.74210227
1,1,0.9930321
1,1,0.97965235
1,1,0.97899914
1,1,0.9755718
1,1,0.96570957
0,1,0.9475674
1,1,0.97155565
1,1,0.9773979
1,1,0.9814249
1,1,0.98329705
1,1,0.9843305
1,1,0.9855932
1,1,0.98749024
1,1,0.987495
1,1,0.9876488
1,1,0.9896513
1,1,0.9929826
1,1,0.9958386
1,1,0.9971851
1,1,0.9971665
1,1,0.9932283
1,1,0.9921854
1,1,0.99239576
1,1,0.9932173
1,1,0.9947451
1,1,0.9945484
1,1,0.99385846
1,1,0.993728
1,1,0.99413556
1,1,0.99476874
1,1,0.99503887
1,1,0.99680305
1,1,0.97246444
0,1,0.64727336
0,1,0.4015226
0,1,0.32833126
0,1,0.3267853
0,1,0.3323067
0,1,0.5038741
0,1,0.64960414
0,1,0.6555497
0,1,0.33934325
0,1,0.9061291
0,1,0.8289795
1,1,0.9691502
0,1,0.59848577
0,1,0.5773181
0,1,0.56186604
0,1,0.9496539
1,1,0.95194364
1,1,0.9562263
0,1,0.8750015
0,1,0.8801633
0,1,0.6913796
0,1,0.69212866
1,1,0.9981337
1,1,0.96297854
1,1,0.9907293
1,1,0.99463314
1,1,0.9955502
0,1,0.19173682
1,1,0.98302525
0,1,0.9063208
0,1,0.8943139
1,1,0.98126316
0,1,0.5329654
0,1,0.49713096
0,1,0.4047961
0,1,0.3859626
0,1,0.3844407
0,1,0.24853265
0,1,0.17873526
0,1,0.06944629
0,1,0.45278454
0,1,0.62628883
0,1,0.55698776
0,1,0.76244766
0,1,0.76505196
0,1,0.5988024
0,1,0.65633553
0,1,0.85648173
0,1,0.5857296
1,1,0.9946654
1,1,0.9975162
1,1,0.99552685
1,1,0.9960522
1,1,0.99599886
1,1,0.9963545
1,1,0.9963545
1,1,0.99861515
1,1,0.9987693
1,1,0.9989029
0,1,0.75870186
0,1,0.47116998
0,1,0.71237683
0,1,0.5669472
0,1,0.58131516
0,1,0.67910284
0,1,-0.13881686
0,1,-0.2940028
0,1,-0.5159843
0,1,-0.53241247
0,1,-0.5133607
0,1,-0.56957686
0,1,-0.5780011
0,1,-0.58058935
0,1,-0.28136507
0,1,0.349834
1,1,0.98671454
1,1,0.9867119
1,1,0.9867119
1,1,0.9867119
1,1,0.97935164
1,1,0.98801285
0,1,-0.0053120945
1,1,0.9760187
1,1,0.9827363
1,1,0.9883263
1,1,0.9883263
1,1,0.9881651
1,1,0.9836094
1,1,0.9892535
0,1,0.68363935
0,1,0.57775354
0,1,0.72368395
0,1,0.4946812
0,1,0.5126043
0,1,0.40434784
0,1,0.69132566
1,1,0.9986887
1,1,0.975502
0,1,0.44638237
0,1,0.44098908
0,1,0.43824676
0,1,0.43542987
0,1,0.46283883
0,1,0.46544135
0,1,0.5517202
1,1,0.9863187
1,1,0.9992754
0,1,0.3571369
0,1,0.48342407
0,1,0.45188904
0,1,0.4513969
0,1,0.45139277
0,1,0.4514965
0,1,0.45618188
0,1,0.45750418
0,1,0.45854896
0,1,0.45897174
0,1,0.4728709
0,1,0.42803982
0,1,0.4239874
0,1,0.42357925
0,1,0.42169878
0,1,0.427012
0,1,0.42923218
0,1,0.43715793
0,1,0.4409921
0,1,0.44088864
0,1,0.4413665
0,1,0.44189042
0,1,0.44108197
0,1,0.44133997
0,1,0.44572377
0,1,0.45671862
0,1,0.4458288
0,1,0.44002494
0,1,0.43940648
1,1,0.9974568
1,1,0.99672055
1,1,0.99672055
1,1,0.9966494
1,1,0.9977348
1,1,0.9970082
1,1,0.99700916
