Y,Y_real,Y_probability
0,0,0.40535444
1,0,0.87376267
1,1,0.79717076
1,1,0.68262386
1,1,0.94425786
1,1,0.6513712
0,1,0.4771179
1,0,0.5508563
0,0,0.3522321
1,1,0.6596535
0,1,0.43375608
1,1,0.8783379
1,1,0.5876343
1,1,0.9961479
0,1,0.46245405
0,0,0.36755884
0,1,0.2042554
1,0,0.5531958
1,1,0.8636019
0,0,0.39648673
1,1,0.7884958
1,1,0.7411857
0,1,0.39849532
0,1,0.48827568
0,1,0.49446508
0,1,0.498016
1,1,0.67439455
1,1,0.6606384
0,1,0.34802717
1,0,0.5719612
1,1,0.6638947
0,0,0.48050144
1,0,0.5861489
0,0,0.53633934
0,1,0.45196405
1,1,0.84425694
0,1,0.45439333
0,1,0.33575866
1,1,0.99954355
0,1,0.54595697
1,1,0.65522677
0,1,0.5330499
0,0,0.5065112
0,1,0.38687676
1,1,0.91523415
0,0,0.37495542
0,0,0.5321445
1,0,0.67365855
0,0,0.39648673
0,1,0.45196405
1,1,0.9970304
0,0,0.40231386
1,1,0.5636575
0,0,0.38366142
1,1,0.743723
0,0,0.34563664
0,0,0.4748956
0,1,0.3815441
0,1,0.47022903
1,1,0.6606384
0,1,0.4886985
1,1,0.60824853
0,0,0.5132158
0,1,0.33673534
0,0,0.35298127
1,1,0.6406007
0,0,0.4713491
0,0,0.5065112
0,0,0.4337646
0,1,0.4820406
0,1,0.4185164
0,1,0.47540718
0,0,0.41324857
0,0,0.53482294
0,1,0.34870076
1,1,0.98451215
0,0,0.52183986
0,0,0.5111254
0,0,0.35549393
0,0,0.52413243
0,1,0.4954462
0,0,0.47535652
0,0,0.39648673
1,1,0.7351328
0,1,0.40803277
0,0,0.4297296
0,0,0.48953256
1,1,0.8786955
0,0,0.39648673
0,0,0.4234976
0,0,0.4381056
0,0,0.2042554
0,0,0.36799917
0,0,0.35358465
0,1,0.37792924
0,1,0.48952204
1,1,0.90993005
0,0,0.44055313
0,0,0.4917362
0,0,0.49868408
0,1,0.39648673
1,1,0.9698705
0,0,0.37086007
1,1,0.6987899
1,1,0.99887234
0,0,0.45008355
1,0,0.7395086
0,0,0.38983
1,0,0.63779193
1,0,0.6373835
0,0,0.35497612
1,1,0.6392094
0,0,0.47657755
0,0,0.35498834
1,0,0.6114903
0,0,0.47016564
0,1,0.39648673
0,1,0.39648673
0,0,0.47104177
0,1,0.435123
0,0,0.46024874
0,0,0.39648673
0,1,0.37208736
0,1,0.4302515
1,1,0.78598756
1,1,0.7868829
1,1,0.8406877
0,0,0.5132158
1,1,0.5865228
0,1,0.42256668
0,0,0.3911153
1,1,0.6637267
0,0,0.37829685
0,0,0.42243016
0,0,0.41292983
0,0,0.40182903
0,0,0.41875288
1,1,0.7339404
1,1,0.59661007
1,1,0.8189822
0,0,0.53467786
1,1,0.8359372
0,1,0.38242427
0,1,0.46092793
0,0,0.4554261
0,1,0.36797756
0,0,0.3624662
0,1,0.37735698
1,0,0.55733645
0,0,0.37564927
0,0,0.4308828
