Y,Y_real,Y_probability
1,0,0.6413223
0,0,0.38725775
0,1,0.40056667
1,0,0.5636299
1,1,0.73222506
0,0,0.4790587
0,1,0.36768728
0,1,0.47947204
1,0,0.6400739
1,0,0.6656398
1,1,0.97970223
0,0,0.3982365
0,1,0.39465335
0,1,0.42361644
0,1,0.39052698
0,1,0.48311552
0,1,0.35130945
0,0,0.45306244
1,1,0.90395814
1,1,0.9400971
0,0,0.5046989
0,1,0.3837196
0,0,0.4651958
0,0,0.47591084
1,1,0.6781412
0,1,0.34539938
1,0,0.8755159
0,1,0.36360908
0,1,0.40313792
0,0,0.5412358
1,1,0.99805963
1,1,0.6693387
1,0,0.5636299
1,1,0.8309868
0,0,0.47312465
1,1,0.9662294
1,1,0.6312328
0,0,0.43120366
1,1,0.88202626
0,0,0.36360908
1,1,0.93099976
0,0,0.4996458
0,0,0.4512528
0,1,0.50495535
0,0,0.403941
0,0,0.411281
0,1,0.38171163
0,1,0.46867046
1,1,0.62532985
1,0,0.5518618
1,1,0.63843435
0,0,0.44446358
0,1,0.34987158
1,1,0.649707
0,1,0.48465756
0,1,0.35056728
0,1,0.40620628
0,0,0.38733873
1,0,0.5528501
0,1,0.47669572
0,0,0.39285338
0,0,0.45016307
0,0,0.4237644
0,0,0.47591084
0,1,0.51078993
0,0,0.46421313
0,0,0.4745213
0,0,0.36768728
0,0,0.3160981
0,1,0.31341255
0,0,0.35328877
0,1,0.4817185
1,1,0.5675167
0,0,0.46521336
0,1,0.44586727
0,0,0.4416839
0,0,0.35224897
1,1,0.6401288
1,1,0.6655439
0,0,0.4564935
1,1,0.96246314
0,0,0.33445254
0,1,0.39041114
0,0,0.36223423
1,1,0.99998575
0,0,0.33891365
0,1,0.35107788
0,0,0.36768728
1,1,0.5670361
1,0,0.6066447
1,1,0.61835086
0,1,0.48725855
1,1,1.0
1,1,0.95898837
1,1,0.5722167
0,0,0.39364877
0,1,0.47781166
1,1,0.8280689
1,0,0.73450243
1,1,0.83761495
1,1,0.59276175
0,0,0.3277434
0,1,0.35595158
0,0,0.43142232
0,1,0.51828706
0,0,0.4183379
1,1,0.6761833
0,1,0.49924803
0,0,0.47734863
0,0,0.42934647
1,1,0.6998949
0,0,0.3964187
0,1,0.35030013
0,1,0.53641945
0,0,0.3402076
0,0,0.3387306
0,1,0.3349664
0,1,0.46265545
0,0,0.40141323
0,0,0.37181637
0,0,0.4363015
0,1,0.4146811
1,1,0.9699133
0,0,0.4826228
0,0,0.39911634
1,1,0.99254906
0,0,0.47912344
0,0,0.37940407
0,1,0.4011641
1,1,0.729232
1,1,0.9454317
1,1,0.7212047
0,1,0.37265205
0,0,0.3384303
1,0,0.6276689
0,1,0.36128294
0,0,0.34926286
0,0,0.43474278
0,0,0.3379372
0,1,0.46977964
1,1,0.86066574
0,0,0.41269788
0,0,0.35883862
1,1,0.79030305
0,1,0.36587378
1,0,0.8114368
0,0,0.42478278
0,0,0.31396317
1,1,0.9635575
1,0,0.71403956
0,0,0.35469243
0,0,0.5008515
0,1,0.46598285
0,0,0.47947204
0,0,0.3893578
0,0,0.44912267
0,1,0.40817958
0,1,0.4951221
1,1,0.8037957
0,0,0.3982365
1,1,0.6702752
0,0,0.43585727
0,0,0.3791346
0,0,0.35077667
