Y,Y_real,Y_probability
0,1,0.4927133
0,1,0.47753447
0,1,0.46959707
1,1,0.5851874
0,1,0.4610243
0,1,0.4630463
1,1,0.6666673
0,1,0.5012961
0,1,0.53291047
0,1,0.50979114
1,1,0.77010685
1,1,0.79652333
1,1,0.749042
0,1,0.44665712
0,1,0.47775763
0,1,0.48340812
1,1,0.6548683
1,1,0.6548683
1,1,0.6552167
1,1,0.65468854
1,1,0.6585829
1,1,0.65953684
1,1,0.6619745
1,1,0.6591207
1,1,0.6592363
1,1,0.649707
1,1,0.6524225
1,1,0.6522926
1,1,0.63889426
1,1,0.77060395
1,1,0.72452337
1,1,0.7141159
1,1,0.7189249
1,1,0.72225565
1,1,0.72213197
1,1,0.72146285
1,1,0.7212047
1,1,0.72369766
1,1,0.72280157
1,1,0.72217476
1,1,0.7186485
1,1,0.71893185
1,1,0.71797955
1,1,0.7191741
1,1,0.7216113
1,1,0.72320646
1,1,0.7223005
1,1,0.7218434
1,1,0.7192402
1,1,0.7219793
1,1,0.72135556
1,1,0.72221005
1,1,0.7234565
1,1,0.7245221
1,1,0.72383046
1,1,0.7236959
1,1,0.722745
1,1,0.722745
1,1,0.6426823
1,1,0.6658367
1,1,0.67014295
1,1,0.66999507
1,1,0.6702752
1,1,0.66878915
1,1,0.6682981
1,1,0.6697815
0,1,0.50300413
1,1,0.61022604
1,1,0.9621592
1,1,0.5675167
1,1,0.6149148
1,1,0.6332795
1,1,0.6090235
0,1,0.5276145
1,1,0.623043
1,1,0.6096506
1,1,0.62355924
0,1,0.51612926
1,1,0.7042456
0,1,0.41207027
0,1,0.5376828
1,1,0.59276175
1,1,0.6838146
1,1,0.6769827
1,1,0.67468107
1,1,0.6443611
1,1,0.6265859
1,1,0.6371154
1,1,0.57796586
1,1,0.5781557
1,1,0.57395625
1,1,0.5674075
1,1,0.56229377
1,1,0.5630221
1,1,0.6154424
1,1,0.7334577
1,1,0.77899337
1,1,0.5528501
1,1,0.5528501
1,1,0.55809665
1,1,0.5855538
1,1,0.5601269
0,1,0.41747415
0,1,0.41304865
0,1,0.46262076
0,1,0.46315828
0,1,0.41181087
0,1,0.42613125
0,1,0.48778948
0,1,0.4226458
0,1,0.4603519
1,1,0.7888422
1,1,0.7509412
1,1,0.63934785
1,1,0.632615
1,1,0.632615
1,1,0.6326008
1,1,0.62922335
1,1,0.62922335
1,1,0.6355655
1,1,0.7026017
1,1,0.5901259
1,1,0.65406066
0,1,0.54434294
0,1,0.52349734
0,1,0.5432226
0,1,0.44776693
0,1,0.44776693
0,1,0.44776693
0,1,0.44619936
0,1,0.5477006
1,1,0.69695675
1,1,0.67729324
1,1,0.68354875
1,1,0.70160854
1,1,0.60039383
0,1,0.47297516
0,1,0.548895
1,1,0.583269
1,1,0.57144547
1,1,0.62532985
1,1,0.5674729
1,1,0.5891531
1,1,0.7513094
1,1,0.5664558
0,1,0.50695246
1,1,0.5518458
1,1,0.6303966
0,1,0.5087676
1,1,0.550513
0,1,0.47947204
0,1,0.5233136
0,1,0.4598452
0,1,0.4527107
1,1,0.6798384
0,1,0.5146174
0,1,0.5211192
0,1,0.41266415
0,1,0.44900742
1,1,0.61845934
1,1,0.7089417
1,1,0.72177166
0,1,0.39094102
1,1,0.6917345
1,1,0.67558753
1,1,0.6735
1,1,0.62715304
1,1,0.65718544
1,1,0.7042505
1,1,0.6928154
1,1,0.6062631
0,1,0.39180604
0,1,0.47728
0,1,0.47728
0,1,0.519993
0,1,0.47104707
0,1,0.5393925
0,1,0.48554248
0,1,0.50568813
0,1,0.47280306
0,1,0.4711198
0,1,0.47442168
0,1,0.47172284
0,1,0.47619748
0,1,0.47499484
0,1,0.45414576
0,1,0.46042717
0,1,0.45677537
0,1,0.474569
0,1,0.47321773
1,1,0.66955423
0,1,0.51283246
0,1,0.4951221
0,1,0.4871155
0,1,0.477214
0,1,0.4767863
1,1,0.69765425
0,1,0.43747172
1,1,0.60378957
0,1,0.44989115
0,1,0.5238123
0,1,0.517503
1,1,0.75201464
1,1,0.6965087
1,1,0.69091994
