Y,Y_real,Y_probability
0,0,0.37863132
0,0,0.4679578
1,1,0.6083921
0,1,0.5330494
0,0,0.43485063
0,1,0.42532104
0,0,0.47764528
1,1,0.6722328
1,1,0.6374162
1,1,0.6016984
0,1,0.45268613
0,1,0.4023044
0,0,0.49178737
1,1,0.81919736
1,0,0.6374014
0,1,0.34588063
0,0,0.44084784
1,1,0.58083814
0,1,0.44860864
1,1,0.5772883
1,0,0.6722474
0,1,0.35041347
1,1,0.57852846
0,0,0.39403155
0,0,0.41625497
0,1,0.35836163
0,1,0.4720576
1,1,0.57831913
0,0,0.3452652
0,0,0.39695606
0,0,0.43103775
0,1,0.3647181
0,0,0.4907861
0,1,0.37171698
0,0,0.4851256
0,0,0.38333204
1,1,0.70971304
0,0,0.42141342
0,0,0.5304538
0,0,0.47435287
0,1,0.28568348
0,0,0.5006874
0,0,0.52879953
0,0,0.4814174
0,1,0.49576443
0,1,0.48050028
0,0,0.41316485
1,0,0.65366316
0,0,0.49946004
0,1,0.35569656
0,1,0.44657344
0,1,0.33445936
1,1,0.7599603
1,1,0.57736236
1,1,0.59459794
1,0,0.5930497
1,1,0.5576718
1,1,0.5657205
1,0,0.6079923
1,1,0.97124267
1,1,0.9950005
0,0,0.47948486
0,0,0.3846136
0,0,0.3452652
0,0,0.47434205
0,0,0.46968606
1,0,0.5549787
0,1,0.36075982
1,1,0.8714793
0,1,0.48014483
0,1,0.4816576
0,1,0.46569285
1,1,0.6257188
0,0,0.45382077
0,0,0.49675512
0,1,0.45193046
0,1,0.37156367
1,1,0.8945203
0,1,0.48654243
0,1,0.43190745
0,0,0.3452652
1,1,0.77547204
0,0,0.46555606
0,1,0.29286715
0,0,0.52459645
0,1,0.41878566
0,0,0.46452194
0,0,0.51857376
1,0,0.6466682
0,0,0.40871626
0,1,0.5443521
1,1,0.5564373
0,1,0.51676875
0,1,0.3227475
0,0,0.49240446
0,1,0.46339455
1,1,0.65664595
1,0,0.64245224
0,1,0.4219243
0,0,0.43620247
0,0,0.47837594
0,1,0.54925954
0,0,0.5480506
0,1,0.47163463
0,0,0.46294177
0,1,0.49799794
0,0,0.3533094
0,1,0.4265707
0,1,0.5326129
0,1,0.3707454
0,0,0.46828085
0,0,0.5464856
0,1,0.418652
0,1,0.49220598
0,0,0.45260975
0,1,0.47733274
1,0,0.66412294
0,1,0.47510788
1,1,0.7628462
0,0,0.38254893
0,0,0.42907494
1,0,0.68407035
1,1,0.5944284
0,0,0.4172796
0,0,0.3718085
0,1,0.39586693
1,1,0.60409534
0,1,0.47151035
0,1,0.36865386
1,1,0.6562503
1,1,0.79217786
0,0,0.4919159
0,1,0.46200278
0,0,0.41412264
0,0,0.47022077
1,1,0.551736
1,1,0.6562503
0,1,0.5498781
0,0,0.4241681
0,0,0.44585657
1,0,0.638073
1,0,0.5966544
1,0,0.64470136
1,0,0.6374014
1,1,0.73314995
0,1,0.37156367
1,0,0.6188223
0,1,0.36075982
0,0,0.37553158
0,0,0.4550523
1,1,0.6762962
1,0,0.6370825
1,1,0.596241
0,0,0.3718512
0,1,0.3452652
0,1,0.5030377
0,0,0.38842326
1,1,0.96107215
1,1,0.99410266
1,1,0.5578161
0,0,0.5048365
0,1,0.45927638
1,1,0.67115015
1,1,0.69169515
0,1,0.48501563
0,1,0.37101048
0,0,0.543221
0,1,0.3950189
0,0,0.3581223
1,0,0.7140186
1,1,0.58892274
1,1,0.7668815
1,1,0.67263144
0,0,0.5338119
0,0,0.47160113
1,1,0.58323973
0,1,0.49213004
0,0,0.3740209
0,0,0.36735925
0,1,0.44448137
1,1,0.5707252
0,1,0.34982276
0,0,0.27766532
0,1,0.4784413
0,0,0.27964377
1,1,0.99900013
0,0,0.4543599
0,0,0.3846136
0,1,0.4736661
0,0,0.50014955
0,1,0.4114447
0,1,0.4718122
0,0,0.4285385
0,0,0.35706097
0,0,0.5243802
0,0,0.41204458
0,0,0.49781534
1,1,0.938921
1,1,0.73791
1,1,0.5972782
0,0,0.5495765
1,1,0.6424059
0,1,0.43302962
1,0,0.6121308
0,0,0.36836484
0,0,0.34911892
0,0,0.36768275
0,0,0.46452796
1,1,0.99956894
0,0,0.4547915
0,1,0.49021003
1,1,0.9581874
0,1,0.4398244
1,1,0.7920728
0,1,0.42824355
1,1,0.58954996
0,1,0.36910257
1,1,0.8177775
0,0,0.4816441
0,0,0.48501563
1,1,0.77613264
1,1,0.7094298
0,0,0.43552634
0,0,0.5360552
0,0,0.3416669
0,0,0.37050083
1,0,0.7279297
0,0,0.4677426
1,1,0.8558857
1,1,0.58653367
0,0,0.43594915
0,0,0.39266124
